alfa,beta,po,time,distance
3.1,8.1,0.2,0.08817667961120605,288.2
3.1,8.6,0.2,0.05462665557861328,286.4
3.1,9.1,0.2,0.04316272735595703,280.6
3.1,9.6,0.2,0.07342562675476075,288.8
3.6,0.1,0.2,0.15981001853942872,286.4
3.6,0.6,0.2,0.21485676765441894,294.2
3.6,1.1,0.2,0.13014450073242187,290.6
3.6,1.6,0.2,0.07162103652954102,284.8
3.6,2.1,0.2,0.05735163688659668,278.4
3.6,2.6,0.2,0.030898189544677733,288.8
3.6,3.1,0.2,0.11448798179626465,274.2
3.6,3.6,0.2,0.06063752174377442,272.4
3.6,4.1,0.2,0.17595415115356444,291.8
3.6,4.6,0.2,0.22181339263916017,294.6
3.6,5.1,0.2,0.17844343185424805,281.0
3.6,5.6,0.2,0.13032083511352538,283.6
3.6,6.1,0.2,0.10576748847961426,275.8
3.6,6.6,0.2,0.08139448165893555,284.8
3.6,7.1,0.2,0.03649492263793945,286.2
3.6,7.6,0.2,0.06643095016479492,280.6
3.6,8.1,0.2,0.13321690559387206,286.2
3.6,8.6,0.2,0.1503899574279785,291.8
